,UniProt ID,PDB ID,pdbid,membrane_name_cache
554,P59768,PDB IDs: 4kfm,4kfm,Eykaryo. plasma
555,P15647,PDB IDs: 3vvk,3vvk,Archaebac.
556,O29988,PDB IDs: 4kpp,4kpp,Archaebac.
557,O34840,PDB IDs: 4kjs,4kjs,Gram-pos. inner
558,Q934G3,PDB IDs: 4fqe,4fqe,Gram-neg. outer
559,Q8EHE6,PDB IDs: 4lep,4lep,Gram-neg. inner
560,Q5KYD1,PDB IDs: 4ikv,4ikv,Gram-pos. inner
561,B1YFV8,PDB IDs: 4hyj,4hyj,Gram-pos. inner
562,P34998,PDB IDs: 4k5y,4k5y,Eykaryo. plasma
565,P47871,PDB IDs: 4l6r,4l6r,Eykaryo. plasma
566,Q9I1Q4,PDB IDs: 4ft6,4ft6,Gram-neg. outer
567,Q9I4U9,PDB IDs: 4frt,4frt,Gram-neg. outer
568,G3XDA5,PDB IDs: 4frx,4frx,Gram-neg. outer
569,Q9HWK2,PDB IDs: 4fso,4fso,Gram-neg. outer
570,Q9HY38,PDB IDs: 4fsp,4fsp,Gram-neg. outer
571,P57789,PDB IDs: 4bw5,4bw5,Eykaryo. plasma
573,F5L478,PDB IDs: 4bgn,4bgn,Gram-pos. inner
574,Q93PM2,PDB IDs: 4k3c,4k3c,Gram-neg. outer
575,Q5F5W8,PDB IDs: 4k3b,4k3b,Gram-neg. outer
576,Q9WLK8,PDB IDs: 3zd0,3zd0,Endoplasm. reticulum
577,O66465,PDB IDs: 4j72,4j72,Gram-neg. inner
578,Q5JID0,PDB IDs: 5dwy,5dwy,Archaebac.
579,P51681,PDB IDs: 4mbs,4mbs,Eykaryo. plasma
580,Q72IM4,PDB IDs: 4bwz,4bwz,Gram-neg. inner
581,Q7K4Y6,PDB IDs: 4m48,4m48,Eykaryo. plasma
582,P0ADE4,PDB IDs: 4c00,4c00,Gram-neg. outer
583,P22607,PDB IDs: 2lzl,2lzl,Eykaryo. plasma
584,A0A0H2VG78,PDB IDs: 4lds,4lds,Gram-pos. inner
585,Q1LCD8,PDB IDs: 4k0e,4k0e,Gram-neg. inner
586,Q0ABW0,PDB IDs: 5hk7,5hk7,Gram-neg. inner
587,P0ADZ0,PDB IDs: 3j45,3j45,Gram-neg. inner
588,Q9KAX3,PDB IDs: 4lz6,4lz6,Gram-pos. inner
589,B0LJC7,PDB IDs: 2mc7,2mc7,Gram-neg. inner
590,O29867,PDB IDs: 3waj,3waj,Archaebac.
591,Q6LZY8,PDB IDs: 4cad,4cad,Archaebac.
592,P36544,PDB IDs: 2maw,2maw,Eykaryo. plasma
594,O35433,PDB IDs: 3j5p,3j5p,Eykaryo. plasma
595,P41143,PDB IDs: 4n6h,4n6h,Eykaryo. plasma
596,P30690,PDB IDs: 3wi4,3wi4,Gram-neg. outer
597,P18239,PDB IDs: 4c9g,4c9g,Mitochon. inner
598,P18238,PDB IDs: 4c9q,4c9q,Mitochon. inner
599,P30878,PDB IDs: 4m64,4m64,Gram-neg. inner
600,P20701,PDB IDs: 2m3e,2m3e,Eykaryo. plasma
601,A6ZSR0,PDB IDs: 4wmz,4wmz,Endoplasm. reticulum
602,P38377,PDB IDs: 4cg5,4cg5,Endoplasm. reticulum
603,P32422,PDB IDs: 4kt0,4kt0,Thylakoid
604,F6XHE4,PDB IDs: 4g80,4g80,Eykaryo. plasma
606,O39928,PDB IDs: 2m6x,2m6x,Endoplasm. reticulum
607,Q3U2S8,PDB IDs: 3wkv,3wkv,Eykaryo. plasma
608,P35968,PDB IDs: 2m59,2m59,Eykaryo. plasma
609,Q13255,PDB IDs: 4or2,4or2,Eykaryo. plasma
610,Q9YBM8,PDB IDs: 4od5,4od5,Archaebac.
611,Q2G506,PDB IDs: 4mrs,4mrs,Gram-neg. inner
612,Q8AWD0,PDB IDs: 4bum,4bum,Mitochon. outer
613,Q9H244,PDB IDs: 4ntj,4ntj,Eykaryo. plasma
614,P94854,PDB IDs: 4jr8,4jr8,Archaebac.
615,H6LFT2,PDB IDs: 4bem,4bem,Gram-pos. inner
616,P40416,PDB IDs: 4myc,4myc,Mitochon. inner
617,Q8R9C0,PDB IDs: 4m58,4m58,Gram-pos. inner
619,P50637,PDB IDs: 2mgy,2mgy,Mitochon. outer
620,P06213,PDB IDs: 2mfr,2mfr,Eykaryo. plasma
622,M1VAN7,PDB IDs: 3wme,3wme,Eykaryo. plasma
623,P0A940,PDB IDs: 4n75,4n75,Gram-neg. outer
624,P41181,PDB IDs: 4nef,4nef,Eykaryo. plasma
625,Q9KDP2,PDB IDs: 3wo7,3wo7,Gram-pos. inner
626,Q9Y6J6,PDB IDs: 2m0q,2m0q,Eykaryo. plasma
628,A0A0D8VEJ4,PDB IDs: 2mi2,2mi2,Gram-neg. inner
630,O27985,PDB IDs: 4o6m,4o6m,Archaebac.
631,Q9Z0S5,PDB IDs: 4p79,4p79,Eykaryo. plasma
632,Q03155,PDB IDs: 4mee,4mee,Gram-neg. outer
633,O31539,PDB IDs: 4pgr,4pgr,Gram-pos. inner
634,P0A924,PDB IDs: 5jwy,5jwy,Gram-neg. inner
635,P11166,PDB IDs: 5eqg,5eqg,Eykaryo. plasma
636,Q72GS0,PDB IDs: 4o9p,4o9p,Gram-neg. inner
637,Q9X2W0,PDB IDs: 4pl0,4pl0,Gram-neg. inner
638,P55734,PDB IDs: 2mpn,2mpn,Gram-neg. inner
639,Q04884,PDB IDs: 2mlh,2mlh,Gram-neg. outer
640,Q83LX4,PDB IDs: 4q35,4q35,Gram-neg. outer
641,Q8ZQZ7,PDB IDs: 4n4r,4n4r,Gram-neg. outer
642,A0A0B8R2U7,PDB IDs: 4tkr,4tkr,Gram-pos. inner
643,Q5M4H8,PDB IDs: 4aps,4aps,Gram-pos. inner
644,P28472,PDB IDs: 4cof,4cof,Eykaryo. plasma
645,Q00960,PDB IDs: 4pe5,4pe5,Eykaryo. plasma
646,A0A1L8F5J9,PDB IDs: 4tlm,4tlm,Eykaryo. plasma
647,P00720,PDB IDs: 6ffi,6ffi,Eykaryo. plasma
648,O29976,PDB IDs: 4mnd,4mnd,Archaebac.
649,O28625,PDB IDs: 4tq4,4tq4,Archaebac.
650,O14842,PDB IDs: 4phu,4phu,Eykaryo. plasma
651,Q51006,PDB IDs: 4mt0,4mt0,Gram-neg. outer
652,P23979,PDB IDs: 4pir,4pir,Eykaryo. plasma
653,O95069,PDB IDs: 4twk,4twk,Eykaryo. plasma
654,P75742,PDB IDs: 4q65,4q65,Gram-neg. inner
655,Q3YW59,PDB IDs: 4umv,4umv,Gram-neg. inner
656,P0A387,PDB IDs: 3wu2,3wu2,Thylakoid
657,B0SR19,PDB IDs: 4qnc,4qnc,Gram-neg. inner
658,F9RBV9,PDB IDs: 4qnd,4qnd,Gram-neg. inner
660,P10614,PDB IDs: 5eqb,5eqb,Endoplasm. reticulum
661,Q8RTE3,PDB IDs: 4mt4,4mt4,Gram-neg. outer
662,Q9KDT3,PDB IDs: 4us3,4us3,Gram-pos. inner
663,P0AEA2,PDB IDs: 4uv3,4uv3,Gram-neg. outer
665,D2ZZC1,PDB IDs: 4qtn,4qtn,Gram-neg. inner
666,G4SW86,PDB IDs: 4quv,4quv,Gram-neg. inner
667,O92972,PDB IDs: 2mts,2mts,Endoplasm. reticulum
670,P0A444,PDB IDs: 6dhe,6dhe,Thylakoid
671,P13473,PDB IDs: 2mom,2mom,Lysosome
672,P0A7L8,PDB IDs: 4v7i,4v7i,Gram-neg. inner
675,C7Z7K1,PDB IDs: 4wis,4wis,Eykaryo. plasma
676,B5YGD6,PDB IDs: 4rng,4rng,Gram-neg. inner
678,Q60362,PDB IDs: 4czb,4czb,Archaebac.
679,P19235,PDB IDs: 2mv6,2mv6,Eykaryo. plasma
680,Q9UZ55,PDB IDs: 4cz8,4cz8,Archaebac.
681,A0A0F6C2F5,PDB IDs: 4q79,4q79,Gram-neg. outer
682,Q5UXY6,PDB IDs: 4pxk,4pxk,Archaebac.
683,P9WP57,PDB IDs: 2mmu,2mmu,Gram-pos. inner
685,O43614,PDB IDs: 5wqc,5wqc,Eykaryo. plasma
686,P07174,PDB IDs: 2mic,2mic,Eykaryo. plasma
687,Q60860,PDB IDs: 4ntf,4ntf,Endoplasm. reticulum
689,Q9ET38,PDB IDs: 3x29,3x29,Eykaryo. plasma
690,P0DMV3,PDB IDs: 4x5m,4x5m,Gram-neg. inner
691,Q81BL7,PDB IDs: 4ryi,4ryi,Gram-pos. inner
692,Q9RFC8,PDB IDs: 4uc1,4uc1,Gram-neg. inner
693,P78423,PDB IDs: 4xt3,4xt3,Eykaryo. plasma
694,P39301,PDB IDs: 4rp8,4rp8,Gram-neg. inner
699,P47900,PDB IDs: 4xnv,4xnv,Eykaryo. plasma
700,N0DKS8,PDB IDs: 4xtl,4xtl,Gram-neg. inner
701,Q9RNX2,PDB IDs: 4r1i,4r1i,Gram-neg. inner
702,O75762,PDB IDs: 3j9p,3j9p,Eykaryo. plasma
703,G3CEP6,PDB IDs: 5ax0,5ax0,Eykaryo. plasma
705,P30556,PDB IDs: 4yay,4yay,Eykaryo. plasma
706,Q0VR69,PDB IDs: 4r0c,4r0c,Gram-neg. inner
707,P13794,PDB IDs: 4rlc,4rlc,Gram-neg. outer
708,A6XB80,PDB IDs: 4rl9,4rl9,Gram-neg. outer
709,Q5DL42,PDB IDs: 4rlb,4rlb,Gram-neg. outer
710,Q8RCC3,PDB IDs: 4ymu,4ymu,Gram-pos. inner
711,P31412,PDB IDs: 3j9t,3j9t,Vacuole
712,Q92633,PDB IDs: 4z34,4z34,Eykaryo. plasma
713,Q48391,PDB IDs: 4d51,4d51,Gram-neg. outer
714,Q01667,PDB IDs: 4xk8,4xk8,Thylakoid
715,P49768,PDB IDs: 4uis,4uis,Eykaryo. plasma
716,O00767,PDB IDs: 4zyo,4zyo,Endoplasm. reticulum
725,Q9LT15,PDB IDs: 6h7d,6h7d,Eykaryo. plasma
726,A3DCU1,PDB IDs: 4ry2,4ry2,Gram-pos. inner
727,Q9KWT7,PDB IDs: 4tqu,4tqu,Gram-neg. inner
728,P08100,PDB IDs: 4zwj,4zwj,Eykaryo. plasma
729,Q18DH8,PDB IDs: 4qi1,4qi1,Archaebac.
730,Q03529,PDB IDs: 4zr1,4zr1,Endoplasm. reticulum
731,A5W3Z9,PDB IDs: 4rl8,4rl8,Gram-neg. outer
732,D0RMU8,PDB IDs: 4dxw,4dxw,Gram-neg. inner
733,Q02060,PDB IDs: 4ri2,4ri2,Thylakoid
734,Q0P9C4,PDB IDs: 5c78,5c78,Gram-neg. inner
735,P0AEY8,PDB IDs: 4zp0,4zp0,Gram-neg. inner
736,Q9JZN9,PDB IDs: 4rdr,4rdr,Gram-neg. outer
737,P31554,PDB IDs: 4rhb,4rhb,Gram-neg. outer
738,Q58584,PDB IDs: 4y7j,4y7j,Archaebac.
740,B7LI20,PDB IDs: 5a43,5a43,Gram-neg. inner
741,Q7VYU0,PDB IDs: 5a40,5a40,Gram-neg. inner
742,O93430,PDB IDs: 3jad,3jad,Eykaryo. plasma
743,Q1J2S8,PDB IDs: 5da0,5da0,Gram-neg. inner
748,G0LFX8,PDB IDs: 4wav,4wav,Archaebac.
749,O75311,PDB IDs: 5cfb,5cfb,Eykaryo. plasma
750,P58353,PDB IDs: 4yb9,4yb9,Eykaryo. plasma
751,P13516,PDB IDs: 4ymk,4ymk,Endoplasm. reticulum
752,Q837A3,PDB IDs: 4z7f,4z7f,Gram-pos. inner
753,A1T557,PDB IDs: 4xu4,4xu4,Gram-pos. inner
754,P43427,PDB IDs: 4ybq,4ybq,Eykaryo. plasma
755,P32977,PDB IDs: 4rjw,4rjw,Gram-neg. outer
756,Q5N8J1,PDB IDs: 5ctg,5ctg,Eykaryo. plasma
757,A1B8N8,PDB IDs: 5dn6,5dn6,Gram-neg. inner
758,A9WSF5,PDB IDs: 5d92,5d92,Gram-pos. inner
759,Q6MLJ0,PDB IDs: 5ayn,5ayn,Gram-neg. inner
760,Q9I527,PDB IDs: 5fp2,5fp2,Gram-neg. outer
761,Q94KI8,PDB IDs: 5dqq,5dqq,Vacuole
762,G1SNM3,PDB IDs: 5an8,5an8,Eykaryo. plasma
763,Q8VGC3,PDB IDs: 3jbr,3jbr,Eykaryo. plasma
764,A0A0X1KHE0,PDB IDs: 5bun,5bun,Gram-neg. outer
765,Q15858,PDB IDs: 5ek0,5ek0,Gram-neg. inner
766,Q55487,PDB IDs: 5eke,5eke,Gram-neg. inner
767,Q0P7K3,PDB IDs: 4z3n,4z3n,Gram-neg. inner
768,P01239,PDB IDs: 3jc2,3jc2,Endoplasm. reticulum
769,Q76FB0,PDB IDs: 4yuu,4yuu,Thylakoid
770,P41948,PDB IDs: 5aex,5aex,Eykaryo. plasma
771,Q59UP8,PDB IDs: 5af1,5af1,Eykaryo. plasma
772,Q5SIA2,PDB IDs: 5bz2,5bz2,Gram-neg. inner
773,P0A937,PDB IDs: 5ekq,5ekq,Gram-neg. outer
775,P25446,PDB IDs: 2na6,2na6,Eykaryo. plasma
776,P25445,PDB IDs: 2na7,2na7,Eykaryo. plasma
777,A0A0D5YKR4,PDB IDs: 5dl7,5dl7,Gram-neg. outer
778,A0A0D5YI36,PDB IDs: 5dl8,5dl8,Gram-neg. outer
782,P60955,PDB IDs: 5azb,5azb,Gram-neg. inner
783,Q1LDT6,PDB IDs: 5f15,5f15,Gram-neg. inner
785,P08173,PDB IDs: 5dsg,5dsg,Eykaryo. plasma
786,P11229,PDB IDs: 5cxv,5cxv,Eykaryo. plasma
787,O43613,PDB IDs: 4zjc,4zjc,Eykaryo. plasma
788,G3MM57,PDB IDs: 5f1c,5f1c,Eykaryo. plasma
789,Q08DA1,PDB IDs: 4xe5,4xe5,Eykaryo. plasma
790,Q9WUD2,PDB IDs: 5hi9,5hi9,Eykaryo. plasma
791,P69434,PDB IDs: 4y25,4y25,Gram-neg. outer
792,E3U904,PDB IDs: 5nxr,5nxr,Gram-neg. outer
793,E3U905,PDB IDs: 4d65,4d65,Gram-neg. outer
794,Q9HVM5,PDB IDs: 5dir,5dir,Gram-neg. inner
795,Q92542,PDB IDs: 2n7r,2n7r,Eykaryo. plasma
796,Q07307,PDB IDs: 5i6c,5i6c,Eykaryo. plasma
797,H9ZSC3,PDB IDs: 5azd,5azd,Gram-neg. inner
798,P31645,PDB IDs: 5i6x,5i6x,Eykaryo. plasma
800,Q99720,PDB IDs: 5hk1,5hk1,Endoplasm. reticulum
801,Q41951,PDB IDs: 5i32,5i32,Vacuole
802,Q1G930,PDB IDs: 5d0y,5d0y,Gram-pos. inner
803,Q1GBJ0,PDB IDs: 5d3m,5d3m,Gram-pos. inner
804,A4IKP6,PDB IDs: 5doq,5doq,Gram-pos. inner
805,Q9H221,PDB IDs: 5do7,5do7,Eykaryo. plasma
806,G3XCY8,PDB IDs: 5fok,5fok,Gram-neg. outer
807,D0CAH3,PDB IDs: 5fp1,5fp1,Gram-neg. outer
808,D0C8V9,PDB IDs: 5fr8,5fr8,Gram-neg. outer
809,C4T9I0,PDB IDs: 5iv9,5iv9,Gram-neg. outer
810,Q9I5U2,PDB IDs: 5iva,5iva,Gram-neg. outer
811,Q7CJV2,PDB IDs: 5ixm,5ixm,Gram-neg. outer
812,P16471,PDB IDs: 2n7i,2n7i,Eykaryo. plasma
813,O29205,PDB IDs: 2n4x,2n4x,Archaebac.
814,Q16A04,PDB IDs: 4xyd,4xyd,Gram-neg. inner
815,P06003,PDB IDs: 3jcu,3jcu,Thylakoid
816,P50859,PDB IDs: 5jlc,5jlc,Endoplasm. reticulum
817,Q63GK8,PDB IDs: 5iws,5iws,Gram-pos. inner
818,D7A5Q8,PDB IDs: 5i20,5i20,Gram-neg. inner
819,Q9R186,PDB IDs: 5iwk,5iwk,Eykaryo. plasma
820,Q9I0Y7,PDB IDs: 5azp,5azp,Gram-neg. outer
821,Q51397,PDB IDs: 5azs,5azs,Gram-neg. outer
822,Q9X1G6,PDB IDs: 5kbw,5kbw,Gram-neg. inner
823,P32927,PDB IDs: 2na8,2na8,Eykaryo. plasma
824,D5UM26,PDB IDs: 5cbg,5cbg,Gram-pos. inner
825,W8VZW3,PDB IDs: 5b2n,5b2n,Gram-neg. inner
827,O88602,PDB IDs: 5kbt,5kbt,Eykaryo. plasma
828,Q71RJ2,PDB IDs: 5kk2,5kk2,Eykaryo. plasma
829,Q6CFT7,PDB IDs: 5fl7,5fl7,Mitochon. inner
830,P0A314,PDB IDs: 5lcb,5lcb,Gram-neg. inner
832,A0A1C7D1B8,PDB IDs: 5sv9,5sv9,Eykaryo. plasma
833,Q93K99,PDB IDs: 5fvn,5fvn,Gram-neg. outer
835,Q13563,PDB IDs: 5t4d,5t4d,Eykaryo. plasma
836,F1RAX4,PDB IDs: 5sy1,5sy1,Eykaryo. plasma
838,Q6D8U4,PDB IDs: 4zgv,4zgv,Gram-neg. outer
840,P24530,PDB IDs: 5gli,5gli,Eykaryo. plasma
842,P25708,PDB IDs: 5ldw,5ldw,Mitochon. inner
848,P13806,PDB IDs: 5gjv,5gjv,Eykaryo. plasma
849,Q8VYR7,PDB IDs: 5l25,5l25,Eykaryo. plasma
850,Q9Y6H6,PDB IDs: 2ndj,2ndj,Eykaryo. plasma
851,P56373,PDB IDs: 5svj,5svj,Eykaryo. plasma
852,P0ABU7,PDB IDs: 5sv0,5sv0,Gram-neg. inner
854,O14493,PDB IDs: 5b2g,5b2g,Eykaryo. plasma
855,Q9NA73,PDB IDs: 5eik,5eik,Endoplasm. reticulum
856,Q9NA75,PDB IDs: 5egi,5egi,Endoplasm. reticulum
870,A0A1I9GEU1,PDB IDs: 5kua,5kua,Gram-neg. inner
874,P04629,PDB IDs: 2n90,2n90,Eykaryo. plasma
875,P60033,PDB IDs: 5tcx,5tcx,Eykaryo. plasma
876,B4EKB4,PDB IDs: 5b57,5b57,Gram-neg. inner
877,B4EKB3,PDB IDs: 5b58,5b58,Gram-neg. inner
878,Q9RTP8,PDB IDs: 5kte,5kte,Gram-neg. inner
879,P42026,PDB IDs: 5lnk,5lnk,Mitochon. inner
883,O34738,PDB IDs: 5edl,5edl,Gram-pos. inner
884,P42260,PDB IDs: 5kuf,5kuf,Eykaryo. plasma
885,P51686,PDB IDs: 5lwe,5lwe,Eykaryo. plasma
886,Q1LX78,PDB IDs: 5uar,5uar,Eykaryo. plasma
887,Q9U3N4,PDB IDs: 5h1r,5h1r,Eykaryo. plasma
888,Q5QJC5,PDB IDs: 5tj6,5tj6,Eykaryo. plasma
889,Q8A6W3,PDB IDs: 5t3r,5t3r,Gram-neg. outer
890,Q8A5H8,PDB IDs: 5fq6,5fq6,Gram-neg. outer
891,P13569,PDB IDs: 5uak,5uak,Eykaryo. plasma
892,P35672,PDB IDs: 5tcq,5tcq,Gram-neg. outer
894,E1B792,PDB IDs: 5tqq,5tqq,Eykaryo. plasma
895,G1M6C4,PDB IDs: 5u1x,5u1x,Eykaryo. plasma
896,P45758,PDB IDs: 5wq7,5wq7,Gram-neg. outer
897,P45779,PDB IDs: 5wq8,5wq8,Gram-neg. outer
898,P0AG99,PDB IDs: 5mg3,5mg3,Gram-neg. inner
899,B7IE18,PDB IDs: 5t77,5t77,Gram-neg. inner
900,Q03519,PDB IDs: 5u1d,5u1d,Endoplasm. reticulum
901,R0BTE9,PDB IDs: 5jnq,5jnq,Gram-pos. inner
902,Q981D4,PDB IDs: 5h35,5h35,Archaebac.
903,Q3HKN0,PDB IDs: 5h36,5h36,Gram-neg. inner
904,E4KPW4,PDB IDs: 5m87,5m87,Gram-pos. inner
905,Q8QFV0,PDB IDs: 5u70,5u70,Eykaryo. plasma
906,Q7DD94,PDB IDs: 5fgn,5fgn,Gram-neg. inner
908,O60741,PDB IDs: 5u6o,5u6o,Eykaryo. plasma
909,Q61743,PDB IDs: 5wua,5wua,Eykaryo. plasma
910,P70673,PDB IDs: 5twv,5twv,Eykaryo. plasma
911,Q72J05,PDB IDs: 5mkk,5mkk,Gram-neg. inner
912,Q8HXQ5,PDB IDs: 5uj9,5uj9,Eykaryo. plasma
913,O34349,PDB IDs: 6fmx,6fmx,Gram-pos. inner
914,P30542,PDB IDs: 5uen,5uen,Eykaryo. plasma
915,Q61009,PDB IDs: 5ktf,5ktf,Eykaryo. plasma
916,O67184,PDB IDs: 5l22,5l22,Gram-neg. inner
917,D0E0C2,PDB IDs: 5x0m,5x0m,Eykaryo. plasma
919,Q96A54,PDB IDs: 5lxg,5lxg,Eykaryo. plasma
920,Q86V24,PDB IDs: 5lwy,5lwy,Eykaryo. plasma
923,P50052,PDB IDs: 5unh,5unh,Eykaryo. plasma
924,Q9HXH5,PDB IDs: 5x5y,5x5y,Gram-neg. inner
925,D5AUZ9,PDB IDs: 5x3x,5x3x,Gram-neg. inner
926,G4CRQ5,PDB IDs: 5l24,5l24,Gram-neg. inner
927,Q15758,PDB IDs: 5llu,5llu,Eykaryo. plasma
928,A0A0Q0R232,PDB IDs: 5x41,5x41,Gram-neg. inner
929,P55085,PDB IDs: 5ndd,5ndd,Eykaryo. plasma
931,P46531,PDB IDs: 5kzo,5kzo,Eykaryo. plasma
932,P60624,PDB IDs: 5gae,5gae,Gram-neg. inner
934,Q9RTE3,PDB IDs: 5xam,5xam,Gram-neg. inner
935,Q9UNQ0,PDB IDs: 5nj3,5nj3,Eykaryo. plasma
936,P0DP24,PDB IDs: 5vms,5vms,Eykaryo. plasma
937,P27896,PDB IDs: 5iji,5iji,Gram-neg. inner
938,S5DM51,PDB IDs: 5jsi,5jsi,Gram-pos. inner
940,P03959,PDB IDs: 5mrw,5mrw,Gram-neg. inner
941,A0A0U3H1E6,PDB IDs: 5wud,5wud,Archaebac.
942,O95477,PDB IDs: 5xjy,5xjy,Eykaryo. plasma
943,P13501,PDB IDs: 5uiw,5uiw,Eykaryo. plasma
944,E0A9E1,PDB IDs: 5vkq,5vkq,Eykaryo. plasma
945,K9WT99,PDB IDs: 5o0t,5o0t,Gram-neg. inner
946,A0A0H3KP92,PDB IDs: 5khs,5khs,Gram-neg. inner
947,P31602,PDB IDs: 5xar,5xar,Gram-neg. inner
949,P0AGM8,PDB IDs: 5xls,5xls,Gram-neg. inner
950,P23930,PDB IDs: 5n6h,5n6h,Gram-neg. inner
951,Q9ZI86,PDB IDs: 5n6m,5n6m,Gram-neg. inner
952,Q8FJY4,PDB IDs: 5vrh,5vrh,Gram-neg. inner
953,P97438,PDB IDs: 6cq8,6cq8,Eykaryo. plasma
954,K9UJK2,PDB IDs: 5vre,5vre,Gram-neg. inner
957,P24474,PDB IDs: 5guw,5guw,Gram-neg. inner
958,Q8U4M3,PDB IDs: 5mlz,5mlz,Archaebac.
959,Q0PBE4,PDB IDs: 5lq3,5lq3,Gram-neg. inner
960,Q47UY7,PDB IDs: 5wuf,5wuf,Gram-neg. inner
961,P02719,PDB IDs: 5xsy,5xsy,Eykaryo. plasma
962,P24391,PDB IDs: 5o8o,5o8o,Mitochon. outer
963,Q08109,PDB IDs: 5v6p,5v6p,Endoplasm. reticulum
964,P0DXF8,PDB IDs: 5o65,5o65,Gram-neg. outer
965,P63142,PDB IDs: 5wie,5wie,Eykaryo. plasma
966,P00156,PDB IDs: 5xte,5xte,Mitochon. inner
967,O00217,PDB IDs: 5xtd,5xtd,Mitochon. inner
968,O43676,PDB IDs: 5xtc,5xtc,Mitochon. inner
969,O00206,PDB IDs: 5nam,5nam,Eykaryo. plasma
970,Q8RTE4,PDB IDs: 5t0o,5t0o,Gram-neg. inner
972,Q1MX24,PDB IDs: 5v8k,5v8k,Gram-pos. inner
973,Q9FGQ2,PDB IDs: 5xpd,5xpd,Eykaryo. plasma
975,P06006,PDB IDs: 5xnl,5xnl,Thylakoid
976,P27490,PDB IDs: 5xno,5xno,Thylakoid
977,A0A0H3LM39,PDB IDs: 5tsa,5tsa,Gram-neg. inner
978,A0A2D0TCI5,PDB IDs: 5xjj,5xjj,Eykaryo. plasma
979,P60752,PDB IDs: 5tv4,5tv4,Gram-neg. inner
980,O15118,PDB IDs: 5u73,5u73,Lysosome
983,Q9YF05,PDB IDs: 5guf,5guf,Archaebac.
984,P62812,PDB IDs: 5osa,5osa,Eykaryo. plasma
985,Q9GZU1,PDB IDs: 5wj5,5wj5,Lysosome
986,Q99J21,PDB IDs: 5wpq,5wpq,Lysosome
987,F6RG56,PDB IDs: 5w3s,5w3s,Lysosome
988,P21917,PDB IDs: 5wiv,5wiv,Eykaryo. plasma
989,P35818,PDB IDs: 5wln,5wln,Gram-neg. inner
990,F2VN85,PDB IDs: 5nup,5nup,Gram-neg. outer
991,P00854,PDB IDs: 6b2z,6b2z,Mitochon. inner
992,Q8TDD5,PDB IDs: 6aye,6aye,Lysosome
994,B7UI37,PDB IDs: 5w68,5w68,Gram-neg. outer
995,P64423,PDB IDs: 5n9y,5n9y,Gram-neg. inner
996,A0A0D8G707,PDB IDs: 5gko,5gko,Gram-neg. inner
997,Q2EHL8,PDB IDs: 5lil,5lil,Gram-neg. inner
998,P40107,PDB IDs: 5oge,5oge,Golgi
999,Q8PAS2,PDB IDs: 6ei3,6ei3,Gram-neg. inner
1000,O67182,PDB IDs: 6m96,6m96,Gram-neg. inner
1001,Q9C994,PDB IDs: 5y50,5y50,Eykaryo. plasma
1002,O66905,PDB IDs: 5xj5,5xj5,Gram-neg. inner
1004,Q7TN37,PDB IDs: 6bcl,6bcl,Eykaryo. plasma
1005,U3JD03,PDB IDs: 6bpq,6bpq,Eykaryo. plasma
1006,G0QG75,PDB IDs: 6eyu,6eyu,Archaebac.
1009,Q9H1D0,PDB IDs: 6bo8,6bo8,Eykaryo. plasma
1010,Q8TD43,PDB IDs: 6bqr,6bqr,Eykaryo. plasma
1012,Q8BHY3,PDB IDs: 5oyb,5oyb,Eykaryo. plasma
1013,L0RVU0,PDB IDs: 5mdr,5mdr,Gram-neg. outer
1015,Q9XSM3,PDB IDs: 6b5v,6b5v,Eykaryo. plasma
1016,P21730,PDB IDs: 5o9h,5o9h,Eykaryo. plasma
1017,F1QXD3,PDB IDs: 6bms,6bms,Golgi
1018,A0A097J792,PDB IDs: 5x33,5x33,Eykaryo. plasma
1019,P0C6Q6,PDB IDs: 5onu,5onu,Gram-neg. outer
1020,Q02795,PDB IDs: 6ezn,6ezn,Endoplasm. reticulum
1021,P11607,PDB IDs: 5mpm,5mpm,Endoplasm. reticulum
1022,D6WJ77,PDB IDs: 5v7p,5v7p,Endoplasm. reticulum
1023,Q5SIG0,PDB IDs: 5vkv,5vkv,Gram-neg. inner
1024,Q8DQF7,PDB IDs: 5xu1,5xu1,Gram-pos. inner
1025,Q09428,PDB IDs: 6c3o,6c3o,Eykaryo. plasma
1026,Q1Q357,PDB IDs: 6eu6,6eu6,Gram-neg. inner
1027,Q5W0Z9,PDB IDs: 6bml,6bml,Golgi
1028,P08183,PDB IDs: 6c0v,6c0v,Eykaryo. plasma
1029,P14416,PDB IDs: 6cm4,6cm4,Eykaryo. plasma
1030,Q05098,PDB IDs: 5mzs,5mzs,Gram-neg. outer
1031,Q8ZRP0,PDB IDs: 5or1,5or1,Gram-neg. outer
1032,A5A616,PDB IDs: 5oqt,5oqt,Gram-pos. inner
1033,P28335,PDB IDs: 6bqg,6bqg,Eykaryo. plasma
1034,P12975,PDB IDs: 5oy0,5oy0,Thylakoid
1036,C6S880,PDB IDs: 6fwf,6fwf,Gram-neg. inner
1037,Q9Y6R1,PDB IDs: 6caa,6caa,Eykaryo. plasma
1038,F1PJP5,PDB IDs: 6ftj,6ftj,Endoplasm. reticulum
1039,P53262,PDB IDs: 6c6l,6c6l,Vacuole
1040,A2A259,PDB IDs: 5z1w,5z1w,Eykaryo. plasma
1042,B4EZY7,PDB IDs: 5nv9,5nv9,Gram-neg. inner
